Program,Year,Enrollees,Dropout
Bachelor of Science in Accounting Information System (BSAIS),2021-2022,736,18
Bachelor of Science in Accounting Information System (BSAIS),2022-2023,885,25
Bachelor of Science in Accounting Information System (BSAIS),2023-2024,385,0
Bachelor of Arts in Psychology (BA Psy),2012-2013,0,0
Bachelor of Arts in Psychology (BA Psy),2013-2014,0,0
Bachelor of Arts in Psychology (BA Psy),2014-2015,0,0
Bachelor of Arts in Psychology (BA Psy),2015-2016,0,0
Bachelor of Arts in Psychology (BA Psy),2016-2017,0,0
Bachelor of Arts in Psychology (BA Psy),2017-2018,0,0
Bachelor of Arts in Psychology (BA Psy),2018-2019,0,0
Bachelor of Arts in Psychology (BA Psy),2019-2020,0,0
Bachelor of Arts in Psychology (BA Psy),2020-2021,0,0
Bachelor of Arts in Psychology (BA Psy),2021-2022,0,0
Bachelor of Arts in Psychology (BA Psy),2022-2023,92,8
Bachelor of Arts in Psychology (BA Psy),2023-2024,136,0
Bachelor of Science in Psychology (BS Psy),2012-2013,0,0
Bachelor of Science in Psychology (BS Psy),2013-2014,0,0
Bachelor of Science in Psychology (BS Psy),2014-2015,0,0
Bachelor of Science in Psychology (BS Psy),2015-2016,0,0
Bachelor of Science in Psychology (BS Psy),2016-2017,0,0
Bachelor of Science in Psychology (BS Psy),2017-2018,0,0
Bachelor of Science in Psychology (BS Psy),2018-2019,0,0
Bachelor of Science in Psychology (BS Psy),2019-2020,0,0
Bachelor of Science in Psychology (BS Psy),2020-2021,0,0
Bachelor of Science in Psychology (BS Psy),2021-2022,0,0
Bachelor of Science in Psychology (BS Psy),2022-2023,0,2
Bachelor of Science in Psychology (BS Psy),2023-2024,96,0
